"Experiment","rep_number","accession_name","branch_number","year","plot_name","location"
"201467BCEPR_mala","1","CG1141-1",2,"2014","201467BCEPR_mala_rep1_CG1141-1_53","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3523-70",1,"2014","201467BCEPR_mala_rep1_GM3523-70_16","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3523-72",3,"2014","201467BCEPR_mala_rep1_GM3523-72_13","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3551-46",3,"2014","201467BCEPR_mala_rep1_GM3551-46_24","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3563-18",2,"2014","201467BCEPR_mala_rep1_GM3563-18_45","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3587-41",3,"2014","201467BCEPR_mala_rep1_GM3587-41_12","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3587-51",3,"2014","201467BCEPR_mala_rep1_GM3587-51_3","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3609-108",2,"2014","201467BCEPR_mala_rep1_GM3609-108_34","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3609-122",2,"2014","201467BCEPR_mala_rep1_GM3609-122_29","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3621-18",2,"2014","201467BCEPR_mala_rep1_GM3621-18_21","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3647-23",4,"2014","201467BCEPR_mala_rep1_GM3647-23_42","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3649-109",3,"2014","201467BCEPR_mala_rep1_GM3649-109_22","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3649-68",2,"2014","201467BCEPR_mala_rep1_GM3649-68_39","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3650-41",0,"2014","201467BCEPR_mala_rep1_GM3650-41_51","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3650-46",2,"2014","201467BCEPR_mala_rep1_GM3650-46_11","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3650-51",3,"2014","201467BCEPR_mala_rep1_GM3650-51_14","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3652-21",3,"2014","201467BCEPR_mala_rep1_GM3652-21_40","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3658-75",1,"2014","201467BCEPR_mala_rep1_GM3658-75_52","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3666-77",3,"2014","201467BCEPR_mala_rep1_GM3666-77_7","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-49",3,"2014","201467BCEPR_mala_rep1_GM3667-49_20","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-55",2,"2014","201467BCEPR_mala_rep1_GM3667-55_47","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-64",3,"2014","201467BCEPR_mala_rep1_GM3667-64_35","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3667-85",1,"2014","201467BCEPR_mala_rep1_GM3667-85_50","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3675-49",4,"2014","201467BCEPR_mala_rep1_GM3675-49_36","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3675-52",3,"2014","201467BCEPR_mala_rep1_GM3675-52_46","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","GM3699-111",3,"2014","201467BCEPR_mala_rep1_GM3699-111_25","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3615-42",3,"2014","201467BCEPR_mala_rep1_SM3615-42_26","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3622-18",4,"2014","201467BCEPR_mala_rep1_SM3622-18_1","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3623-31",4,"2014","201467BCEPR_mala_rep1_SM3623-31_38","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","SM3623-7",4,"2014","201467BCEPR_mala_rep1_SM3623-7_27","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","TAI8",2,"2014","201467BCEPR_mala_rep1_TAI8_6","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","1","YT1-4",2,"2014","201467BCEPR_mala_rep1_YT1-4_23","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","AM1216-3",1,"2014","201467BCEPR_mala_rep2_AM1216-3_75","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","AM1228-2",1,"2014","201467BCEPR_mala_rep2_AM1228-2_64","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","CG1141-1",0,"2014","201467BCEPR_mala_rep2_CG1141-1_76","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","CM4919-1",0,"2014","201467BCEPR_mala_rep2_CM4919-1_59","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3523-70",3,"2014","201467BCEPR_mala_rep2_GM3523-70_56","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3523-72",4,"2014","201467BCEPR_mala_rep2_GM3523-72_103","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3551-46",3,"2014","201467BCEPR_mala_rep2_GM3551-46_82","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3563-18",3,"2014","201467BCEPR_mala_rep2_GM3563-18_61","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3587-41",1,"2014","201467BCEPR_mala_rep2_GM3587-41_84","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3587-51",3,"2014","201467BCEPR_mala_rep2_GM3587-51_90","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3593-70",2,"2014","201467BCEPR_mala_rep2_GM3593-70_107","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3609-108",3,"2014","201467BCEPR_mala_rep2_GM3609-108_69","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3609-113",3,"2014","201467BCEPR_mala_rep2_GM3609-113_93","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3609-122",2,"2014","201467BCEPR_mala_rep2_GM3609-122_60","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3621-18",3,"2014","201467BCEPR_mala_rep2_GM3621-18_65","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3623-27",2,"2014","201467BCEPR_mala_rep2_GM3623-27_83","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3628-33",2,"2014","201467BCEPR_mala_rep2_GM3628-33_66","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3647-23",3,"2014","201467BCEPR_mala_rep2_GM3647-23_80","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3649-109",3,"2014","201467BCEPR_mala_rep2_GM3649-109_89","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3649-68",1,"2014","201467BCEPR_mala_rep2_GM3649-68_91","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-41",2,"2014","201467BCEPR_mala_rep2_GM3650-41_81","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-42",1,"2014","201467BCEPR_mala_rep2_GM3650-42_105","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-46",1,"2014","201467BCEPR_mala_rep2_GM3650-46_104","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-49",2,"2014","201467BCEPR_mala_rep2_GM3650-49_79","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-51",3,"2014","201467BCEPR_mala_rep2_GM3650-51_68","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-57",2,"2014","201467BCEPR_mala_rep2_GM3650-57_87","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3652-21",3,"2014","201467BCEPR_mala_rep2_GM3652-21_67","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3658-73",3,"2014","201467BCEPR_mala_rep2_GM3658-73_71","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3658-75",2,"2014","201467BCEPR_mala_rep2_GM3658-75_98","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3658-81",2,"2014","201467BCEPR_mala_rep2_GM3658-81_88","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3666-77",3,"2014","201467BCEPR_mala_rep2_GM3666-77_70","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-49",3,"2014","201467BCEPR_mala_rep2_GM3667-49_86","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-55",4,"2014","201467BCEPR_mala_rep2_GM3667-55_99","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-64",4,"2014","201467BCEPR_mala_rep2_GM3667-64_85","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-85",3,"2014","201467BCEPR_mala_rep2_GM3667-85_77","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3675-49",2,"2014","201467BCEPR_mala_rep2_GM3675-49_57","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3675-52",3,"2014","201467BCEPR_mala_rep2_GM3675-52_62","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3699-111",3,"2014","201467BCEPR_mala_rep2_GM3699-111_96","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3700-14",2,"2014","201467BCEPR_mala_rep2_GM3700-14_55","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-1",2,"2014","201467BCEPR_mala_rep2_SM3615-1_73","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-16",3,"2014","201467BCEPR_mala_rep2_SM3615-16_100","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-19",3,"2014","201467BCEPR_mala_rep2_SM3615-19_106","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-42",4,"2014","201467BCEPR_mala_rep2_SM3615-42_95","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3616-17",2,"2014","201467BCEPR_mala_rep2_SM3616-17_101","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3618-1",2,"2014","201467BCEPR_mala_rep2_SM3618-1_102","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3622-18",3,"2014","201467BCEPR_mala_rep2_SM3622-18_78","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3622-23",3,"2014","201467BCEPR_mala_rep2_SM3622-23_94","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3623-31",2,"2014","201467BCEPR_mala_rep2_SM3623-31_72","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3623-7",4,"2014","201467BCEPR_mala_rep2_SM3623-7_63","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SMB2446-2",0,"2014","201467BCEPR_mala_rep2_SMB2446-2_92","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",2,"2014","201467BCEPR_mala_rep2_TAI8_108","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",2,"2014","201467BCEPR_mala_rep2_TAI8_74","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",2,"2014","201467BCEPR_mala_rep2_TAI8_108","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",2,"2014","201467BCEPR_mala_rep2_TAI8_74","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","YT1-4",2,"2014","201467BCEPR_mala_rep2_YT1-4_58","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","CG1141-1",0,"2014","201468BCEPR_mala_rep1_CG1141-1_50","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","CM4919-1",0,"2014","201468BCEPR_mala_rep1_CM4919-1_48","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4264-2",3,"2014","201468BCEPR_mala_rep1_GM4264-2_34","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4276-1",3,"2014","201468BCEPR_mala_rep1_GM4276-1_10","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4279-4",3,"2014","201468BCEPR_mala_rep1_GM4279-4_38","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4288-5",3,"2014","201468BCEPR_mala_rep1_GM4288-5_15","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4292-1",3,"2014","201468BCEPR_mala_rep1_GM4292-1_19","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4300-1",3,"2014","201468BCEPR_mala_rep1_GM4300-1_20","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4310-2",2,"2014","201468BCEPR_mala_rep1_GM4310-2_1","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4310-4",1,"2014","201468BCEPR_mala_rep1_GM4310-4_25","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4310-5",3,"2014","201468BCEPR_mala_rep1_GM4310-5_6","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4310-9",3,"2014","201468BCEPR_mala_rep1_GM4310-9_18","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4313-3",3,"2014","201468BCEPR_mala_rep1_GM4313-3_43","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4316-1",3,"2014","201468BCEPR_mala_rep1_GM4316-1_2","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4327-10",2,"2014","201468BCEPR_mala_rep1_GM4327-10_16","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4328-15",1,"2014","201468BCEPR_mala_rep1_GM4328-15_30","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4328-4",2,"2014","201468BCEPR_mala_rep1_GM4328-4_8","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4329-2",3,"2014","201468BCEPR_mala_rep1_GM4329-2_4","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4330-2",2,"2014","201468BCEPR_mala_rep1_GM4330-2_9","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4330-4",0,"2014","201468BCEPR_mala_rep1_GM4330-4_49","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4334-1",3,"2014","201468BCEPR_mala_rep1_GM4334-1_3","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4341-3",3,"2014","201468BCEPR_mala_rep1_GM4341-3_41","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4345-5",2,"2014","201468BCEPR_mala_rep1_GM4345-5_44","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4347-1",1,"2014","201468BCEPR_mala_rep1_GM4347-1_36","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4358-4",3,"2014","201468BCEPR_mala_rep1_GM4358-4_17","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3673-29",1,"2014","201468BCEPR_mala_rep1_SM3673-29_23","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3674-1",2,"2014","201468BCEPR_mala_rep1_SM3674-1_29","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3677-47",3,"2014","201468BCEPR_mala_rep1_SM3677-47_45","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3677-72",3,"2014","201468BCEPR_mala_rep1_SM3677-72_42","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3677-74",2,"2014","201468BCEPR_mala_rep1_SM3677-74_35","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3679-13",3,"2014","201468BCEPR_mala_rep1_SM3679-13_27","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3679-21",3,"2014","201468BCEPR_mala_rep1_SM3679-21_46","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3679-5",2,"2014","201468BCEPR_mala_rep1_SM3679-5_32","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3679-8",2,"2014","201468BCEPR_mala_rep1_SM3679-8_12","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3680-4",2,"2014","201468BCEPR_mala_rep1_SM3680-4_33","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-12",4,"2014","201468BCEPR_mala_rep1_SM3682-12_39","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-4",1,"2014","201468BCEPR_mala_rep1_SM3682-4_53","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-45",3,"2014","201468BCEPR_mala_rep1_SM3682-45_21","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-57",3,"2014","201468BCEPR_mala_rep1_SM3682-57_5","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-6",2,"2014","201468BCEPR_mala_rep1_SM3682-6_51","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-72",3,"2014","201468BCEPR_mala_rep1_SM3682-72_28","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3682-8",3,"2014","201468BCEPR_mala_rep1_SM3682-8_26","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3684-14",2,"2014","201468BCEPR_mala_rep1_SM3684-14_31","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3684-2",1,"2014","201468BCEPR_mala_rep1_SM3684-2_13","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3684-27",2,"2014","201468BCEPR_mala_rep1_SM3684-27_24","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3684-7",3,"2014","201468BCEPR_mala_rep1_SM3684-7_14","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3685-11",2,"2014","201468BCEPR_mala_rep1_SM3685-11_40","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3685-13",2,"2014","201468BCEPR_mala_rep1_SM3685-13_7","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SM3685-26",2,"2014","201468BCEPR_mala_rep1_SM3685-26_22","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","SMB2446-2",0,"2014","201468BCEPR_mala_rep1_SMB2446-2_37","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","TAI8",2,"2014","201468BCEPR_mala_rep1_TAI8_52","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","CG1141-1",0,"2014","201468BCEPR_mala_rep2_CG1141-1_106","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","CM4919-1",0,"2014","201468BCEPR_mala_rep2_CM4919-1_83","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4264-2",3,"2014","201468BCEPR_mala_rep2_GM4264-2_64","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4276-1",2,"2014","201468BCEPR_mala_rep2_GM4276-1_84","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4279-4",2,"2014","201468BCEPR_mala_rep2_GM4279-4_57","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4292-1",4,"2014","201468BCEPR_mala_rep2_GM4292-1_91","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4300-1",2,"2014","201468BCEPR_mala_rep2_GM4300-1_73","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4310-2",2,"2014","201468BCEPR_mala_rep2_GM4310-2_97","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4310-4",2,"2014","201468BCEPR_mala_rep2_GM4310-4_71","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4310-5",3,"2014","201468BCEPR_mala_rep2_GM4310-5_75","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4310-9",3,"2014","201468BCEPR_mala_rep2_GM4310-9_68","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4313-3",2,"2014","201468BCEPR_mala_rep2_GM4313-3_59","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4316-1",2,"2014","201468BCEPR_mala_rep2_GM4316-1_77","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4327-10",3,"2014","201468BCEPR_mala_rep2_GM4327-10_102","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4328-15",1,"2014","201468BCEPR_mala_rep2_GM4328-15_56","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4328-4",1,"2014","201468BCEPR_mala_rep2_GM4328-4_63","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4329-2",3,"2014","201468BCEPR_mala_rep2_GM4329-2_94","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4329-4",0,"2014","201468BCEPR_mala_rep2_GM4329-4_61","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4330-2",3,"2014","201468BCEPR_mala_rep2_GM4330-2_72","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4330-4",0,"2014","201468BCEPR_mala_rep2_GM4330-4_80","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4334-1",3,"2014","201468BCEPR_mala_rep2_GM4334-1_99","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4341-3",4,"2014","201468BCEPR_mala_rep2_GM4341-3_66","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4347-1",3,"2014","201468BCEPR_mala_rep2_GM4347-1_70","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","GM4358-4",2,"2014","201468BCEPR_mala_rep2_GM4358-4_87","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3673-29",0,"2014","201468BCEPR_mala_rep2_SM3673-29_79","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3674-1",2,"2014","201468BCEPR_mala_rep2_SM3674-1_86","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3677-47",3,"2014","201468BCEPR_mala_rep2_SM3677-47_100","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3677-72",3,"2014","201468BCEPR_mala_rep2_SM3677-72_88","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3677-74",2,"2014","201468BCEPR_mala_rep2_SM3677-74_92","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3679-13",2,"2014","201468BCEPR_mala_rep2_SM3679-13_58","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3679-21",3,"2014","201468BCEPR_mala_rep2_SM3679-21_101","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3679-5",3,"2014","201468BCEPR_mala_rep2_SM3679-5_55","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3679-8",3,"2014","201468BCEPR_mala_rep2_SM3679-8_74","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3680-4",2,"2014","201468BCEPR_mala_rep2_SM3680-4_96","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3682-12",3,"2014","201468BCEPR_mala_rep2_SM3682-12_67","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3682-4",2,"2014","201468BCEPR_mala_rep2_SM3682-4_82","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3682-45",2,"2014","201468BCEPR_mala_rep2_SM3682-45_76","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3682-57",2,"2014","201468BCEPR_mala_rep2_SM3682-57_107","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3682-6",0,"2014","201468BCEPR_mala_rep2_SM3682-6_65","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3682-8",3,"2014","201468BCEPR_mala_rep2_SM3682-8_90","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3684-14",1,"2014","201468BCEPR_mala_rep2_SM3684-14_60","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3684-2",4,"2014","201468BCEPR_mala_rep2_SM3684-2_81","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3684-27",3,"2014","201468BCEPR_mala_rep2_SM3684-27_108","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3684-7",3,"2014","201468BCEPR_mala_rep2_SM3684-7_104","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3685-13",3,"2014","201468BCEPR_mala_rep2_SM3685-13_105","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3685-20",0,"2014","201468BCEPR_mala_rep2_SM3685-20_103","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SM3685-26",2,"2014","201468BCEPR_mala_rep2_SM3685-26_98","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","SMB2446-2",0,"2014","201468BCEPR_mala_rep2_SMB2446-2_89","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","2","TAI8",0,"2014","201468BCEPR_mala_rep2_TAI8_78","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","CG1141-1",0,"2015","201545BCPRC_mala_rep1_CG1141-1_30","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","CM4919-1",0,"2015","201545BCPRC_mala_rep1_CM4919-1_9","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3523-70",3,"2015","201545BCPRC_mala_rep1_GM3523-70_33","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3587-41",4,"2015","201545BCPRC_mala_rep1_GM3587-41_16","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3587-51",2,"2015","201545BCPRC_mala_rep1_GM3587-51_14","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3621-18",2,"2015","201545BCPRC_mala_rep1_GM3621-18_12","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3649-68",2,"2015","201545BCPRC_mala_rep1_GM3649-68_19","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3650-41",3,"2015","201545BCPRC_mala_rep1_GM3650-41_10","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3650-49",2,"2015","201545BCPRC_mala_rep1_GM3650-49_17","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3650-51",1,"2015","201545BCPRC_mala_rep1_GM3650-51_32","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3652-21",4,"2015","201545BCPRC_mala_rep1_GM3652-21_6","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3658-81",3,"2015","201545BCPRC_mala_rep1_GM3658-81_1","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3666-77",4,"2015","201545BCPRC_mala_rep1_GM3666-77_13","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3667-49",3,"2015","201545BCPRC_mala_rep1_GM3667-49_4","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3675-52",2,"2015","201545BCPRC_mala_rep1_GM3675-52_34","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM3700-14",3,"2015","201545BCPRC_mala_rep1_GM3700-14_11","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM4310-4",2,"2015","201545BCPRC_mala_rep1_GM4310-4_28","Malambo. Atlantico, Colombia"
"201545BCPRC_mala","1","GM4310-5",3,"2015","201545BCPRC_mala_rep1_GM4310-5_21","Malambo. Atlantico, Colombia"
